ID,last,first,co,act,cosize,middle,city,state,latitude,longitude
0,Ripley,Daniel,United States Glass Co.; Ripley & Co.,7,2500,C,Pittsburgh,PA,40.442169,-79.994945
1,Draper,George,Draper Company,7,2500,A,Hopedale,MA,42.13144,-71.54189
2,McFadden,Benjamin,Commercial Envelope and Box Co.,5,,B,Binghamton,NY,42.098702,-75.912543
3,Hopewell,John,L.C. Chase & co,7,400,,Newton,MA,42.338028,-71.211578
8,Hanna,Hugh,Atlas Engine Works,3,1400,H,Indianapolis,IN,39.76845,-86.156212
9,,,San Francisco Brick Co,2,,,San Francisco,CA,37.78008,-122.420168
10,Marshutz,,National Iron Works,2,,,San Francisco,CA,37.78008,-122.420168
11,Cantrell,,National Iron Works,2,,,San Francisco,CA,37.78008,-122.420168
12,(Foss),,American Glue Co.,2,750,,Boston,MA,42.358894,-71.056742
13,Sharpe,Henry,Brown & Sharpe Manufacturing Co.,5,3000,D,Providence,RI,41.824461,-71.412747
14,Clum,P,Clum & Atkinson Brass Founders,2,,A,Rochester,NY,43.155708,-77.612547
15,,,Faunce & Spinney,2,,,Lynn,MA,42.46441,-70.948512
16,Parry,John,Parry Brick,2,,E,Boston,MA,42.358894,-71.056742
17,,,Closset & Devers,2,,,Portland,OR,45.516018,-122.681425
19,Hyde,Henry,Wason Manufacturing Co.,2,700,S,Springfield,MA,42.102051,-72.585757
21,Coffins,George,L.C. Chase & Co.,3,,T,Boston,MA,42.358894,-71.056742
22,Hightower,Z,Hightower Box,2,,J,Atlanta,GA,33.748547,-84.391502
23,Sammond,C,Stowell Manufacturing,2,210,E,South Milwaukee,WI,42.911597,-87.86068
24,Roper,W,John L. Roper Lumber,2,,B,Norfolk,VA,36.846164,-76.285913
25,Bolcom,W,H.C. Bolcom Lumber,2,,M,Winona,MN,44.049877,-91.639366
27,Foot,Silas,"Foot, Schulze & Co.",3,600,Buck,St. Paul,MN,44.943719,-93.094281
29,Hindley,R,Horlick's Food,2,350,C,Racine,WI,42.726126,-87.789462
31,Lansing,Stuart,Bagley & Sewall,2,500,D,Watertown,NY,43.972377,-75.911254
32,Kimberly,John,Kimberly & Clark Co.,3,,Alfred,Neenah,WI,44.178238,-88.477226
35,Dodge,Philip,Mergenthaler Linotype Company,7,1800,T,New York,NY,40.713054,-74.007228
38,Schafer,A,Sherwin-Williams Co,2,,E,Cleveland,OH,41.505546,-81.6915
39,Lummus,Ezra,F.H. Lummus Sons,4,,Franklin,Columbus,GA,32.466682,-84.990405
40,Douglass,E,Douglass Bagging Co??,3,,S,St. Joseph,MO,39.768194,-94.848164
41,Ballantine,Robert,P. Ballantine & Sons,2,500,F,Newark,NJ,40.731507,-74.174388
42,Bradley,Charles,P. Ballantine & Sons,2,,,Newark,NJ,40.731507,-74.174388
43,Smith,George,,2,,K,St. Louis,MO,38.630276,-90.200309
44,Chute,A,Enterprise Boiler Company,2,,B,Youngstown,OH,41.100083,-80.649387
45,Miner,E,The Pfaudler Co.,2,,G,Rochester,NY,43.155708,-77.612547
46,Shultz,John,Shultz Belting Co.,4,,A.J.,St. Louis,MO,38.630276,-90.200309
48,Warrener,William,Federal?,3,,J,"Athens, co.",OH,39.3292,-82.101165
49,Buchwalter,Edward,American Seeding-Machine Co.,3,1000,L,Springfield,OH,39.924581,-83.810137
50,,,American China Co.,2,100,,Toronto,OH,40.463636,-80.601033
51,Thompson,Newcomb,The Tradesman,5,,Frierson,Birmingham,AL,33.522859,-86.807705
52,Stockton,Robert,Majestic Manufacturing Co.,5,390,Henry,St. Louis,MO,38.630276,-90.200309
54,Busch,Augustus,Anheuser-Busch,5,6000,A,St. Louis,MO,38.630276,-90.200309
56,Farquhar,A,PA Agricultural Works / A.B. Farquhar Co.,9,500,B,York,PA,39.960339,-76.734668
57,Brown,A(lanson),Hamilton-Brown Shoe Co.,5,5500,D(avid),St. Louis,MO,38.630276,-90.200309
58,Spencer,R,Hamilton-Brown Shoe Co.,5,,F,St. Louis,MO,38.630276,-90.200309
59,Abercrombie,R,Abercrombie Stone Company,3,,M,St. Joseph,MO,39.768194,-94.848164
60,Quarles,E,,8,,A,Louisville,KY,38.256078,-85.751569
61,Nunemacher,F(rank),Nunemacher Press,7,,C,Louisville,KY,38.256078,-85.751569
66,Callaway,Fuller,"Unity Cotton Mills, Milstead Mfg Co.",2,6000,E(arle),La Grange,GA,33.038741,-85.029644
68,Robinson,C,Robinson Lumber Co.,2,,W,New Orleans,LA,29.950621,-90.074948
69,Estabrook,George,Fisher Governor Co.,3,,R,Marshalltown,IA,42.034679,-92.912686
70,Draper,William,Draper Co.,3,,F,Washington,DC,38.892062,-77.019912
71,Wayman,T,Townsend Grace & Co.,4,,,Baltimore,MD,39.290443,-76.612333
72,Townsend,William,Townsend Grace & Co.,4,,G,Baltimore,MD,39.290443,-76.612333
73,Wagner,T,Townsend Grace & Co.,4,,,Baltimore,MD,39.290443,-76.612333
74,Little,Henry ,Pillsbury-Washburn Flour Mills,2,,L(yman),Minneapolis,MN,44.977479,-93.264346
76,Jones,Cyrus,Bailey-Jones Co.,3,,E,Jamestown,NY,42.098961,-79.242051
77,Ramlose,C,Ramlose Shoe Co.?,2,,E,St. Louis,MO,38.630276,-90.200309
78,Stegall,H,Union Biscuit Co.,2,,W,St. Louis,MO,38.630276,-90.200309
80,Viall,W,Brown & Sharpe Manufacturing Co.,5,,A,Providence,RI,41.824461,-71.412747
81,Reilly,James,,9,,M,Newark,NJ,40.731507,-74.174388
82,Gary,James,James S. Gary & Son,8,,A,Baltimore,MD,39.290443,-76.612333
83,Gary,Stanley,James S. Gary & Son,8,,E,Baltimore,MD,39.290443,-76.612333
89,Altemus,Jacob,"W.W. Altemus & Son, Textile Machinery; Jacob K. Altemus ",2,,K,Philadelphia,PA,39.951061,-75.16562
90,Crosby,Oliver,American Hoist & Derrick,4,600,,St. Paul,MN,44.943719,-93.094281
91,Schwedtman,Fred (Ferdinand),Wagner Electrical; Racine-Sattley Co,9,,C,St. Louis,MO,38.630276,-90.200309
93,Miles,H,Racine-Sattley Co.,9,1300,E,Racine,WI,42.726126,-87.789462
94,Hanch,Charles,Nordyke & Marmon,7,600,C,Indianapolis,IN,39.76845,-86.156212
96,Jarvis,Charles,American Hardware Corporation / P & F Corbin,9,5100,M,New Britain,CT,41.667528,-72.783437
97,,,H.B. Smith Machine Co.,2,140,,Smithville,NJ,39.493973,-74.457736
102,Brown,Charles,Hall & Brown Wood Working Machine Co.,2,,,St. Louis,MO,38.630276,-90.200309
105,Riesenberg,Henry,Henry Riesenberg Cigar Co.,6,,,Indianapolis,IN,39.76845,-86.156212
106,Fetzer,James,Herbrand Company?,2,,J,Columbiana,OH,40.888639,-80.693443
109,Tompkins,Daniel,D.A. Tompkins Co.,7,,Augustus,Charlotte,NC,35.222936,-80.840161
112,Payson,Edward,Emerson Piano Company,2,,S,Boston,MA,42.358894,-71.056742
116,Ittner,Anthony,Anthony Ittner Brick Co.,4,,,St. Louis,MO,38.630276,-90.200309
125,Campbell,S,,2,,W,Chicago,IL,41.883229,-87.632398
126,Becker,Charles,,8,,H,New York,NY,40.713054,-74.007228
131,Frankel,Philip,,6,,H,Cleveland,OH,41.505546,-81.6915
133,Davis,Edward,,3,,H,Indianapolis,IN,39.76845,-86.156212
134,Sykes,I,,2,,H,Columbus,MS,33.495562,-88.424393
135,Wile,Sol,,2,,,Rochester,NY,43.155708,-77.612547
138,Bliss,Charles,Farrell Foundry and Machine Company,2,,F,Waterbury; Ansonia,CT,41.34198,-73.078296
139,Carlisle,Charles,Studebaker Bros. Manufacturing Company,4,5000,Arthur,South Bend,IN,41.675032,-86.251962
140,Kirby,John,Dayton Manufacturing Co.,10,225,,Dayton,OH,39.760982,-84.192203
