key1	key2	measure	connection type
10	11	0.000	residence
10	1870	0.089	residence
10	1884	0.065	residence
1015	3211	0.078	residence
1015	3508	0.074	residence
1015	865	0.075	residence
1029	1813	0.000	residence
1029	2047	0.071	residence
1029	2215	0.000	residence
1029	3246	0.000	residence
1029	3829	0.000	residence
1029	4049	0.000	residence
1029	4055	0.000	residence
1029	4814	0.000	residence
1029	4935	0.000	residence
1029	502	0.000	residence
1066	1145	3	socialclub
1066	1813	3	socialclub
1066	2005	3	socialclub
1066	209	3	socialclub
1066	2159	4	socialclub
1066	2254	3	socialclub
1066	2268	3	socialclub
1066	2303	3	socialclub
1066	2377	3	socialclub
1066	2572	3	socialclub
1066	2661	4	socialclub
1066	3469	3	socialclub
1066	3726	3	socialclub
1066	3977	3	socialclub
1066	4205	4	socialclub
1066	4262	3	socialclub
1066	4341	4	socialclub
1066	4682	3	socialclub
1066	4705	4	socialclub
1066	4719	3	socialclub
1066	4878	3	socialclub
1066	560	3	socialclub
1066	652	3	socialclub
1066	687	3	socialclub
1066	723	3	socialclub
1066	739	3	socialclub
1066	893	3	socialclub
1066	939	3	socialclub
1066	973	4	socialclub
1080	2702	3	socialclub
11	1870	0.089	residence
11	1884	0.065	residence
11	2549	3	socialclub
1102	509	0.003	residence
1114	1406	0.084	residence
1114	3978	0.098	residence
1114	4455	0.057	residence
1114	4515	0.085	residence
1145	1813	3	socialclub
1145	209	3	socialclub
1145	2159	3	socialclub
1145	22	3	socialclub
1145	2254	3	socialclub
1145	2303	3	socialclub
1145	2377	3	socialclub
1145	2661	3	socialclub
1145	3726	3	socialclub
1145	4205	3	socialclub
1145	4262	3	socialclub
1145	4705	3	socialclub
1145	4719	3	socialclub
1145	4878	3	socialclub
1145	687	3	socialclub
1145	723	3	socialclub
1145	739	3	socialclub
1145	893	3	socialclub
1145	973	3	socialclub
1173	1768	0.078	residence
1206	1526	0.074	residence
1206	419	0.077	residence
1222	4455	0.088	residence
1226	210	0.099	residence
1278	3704	0.010	residence
1278	4561	0.069	residence
1294	308	0.025	residence
1294	3129	0.099	residence
1294	3136	0.099	residence
1294	3970	0.075	residence
1294	4095	0.099	residence
1294	4891	0.089	residence
1294	955	0.078	residence
134	1937	0.093	residence
134	2345	0.017	residence
134	2658	0.098	residence
134	2661	0.093	residence
134	2794	0.034	residence
134	4705	0.095	residence
1397	211	0.096	residence
1397	2616	0.070	residence
1397	357	0.029	residence
1397	443	0.094	residence
1397	4718	0.078	residence
1406	2659	3	socialclub
1406	723	3	socialclub
1477	1790	0.085	residence
1477	2817	0.098	residence
1477	611	0.087	residence
1477	648	0.088	residence
1526	2261	0.066	residence
1532	1545	0.028	residence
1532	1550	0.028	residence
1532	3975	0.021	residence
1545	1550	0.000	residence
1545	3975	0.007	residence
1550	3975	0.007	residence
1573	183	3	socialclub
1573	2303	3	socialclub
1573	2661	3	socialclub
1573	2836	3	socialclub
1573	3836	3	socialclub
1573	4017	3	socialclub
1573	4236	3	socialclub
1573	4259	3	socialclub
1573	4557	3	socialclub
1573	4562	3	socialclub
1573	4682	3	socialclub
1573	4971	3	socialclub
1573	723	3	socialclub
1573	917	3	socialclub
1573	939	3	socialclub
1573	972	3	socialclub
161	162	0.000	residence
161	209	3	socialclub
161	22	3	socialclub
161	2215	3	socialclub
161	2303	3	socialclub
161	2525	3	socialclub
161	2538	3	socialclub
161	2659	3	socialclub
161	2661	3	socialclub
161	2712	3	socialclub
161	2836	3	socialclub
161	4190	0.022	residence
161	4191	0.022	residence
161	4205	3	socialclub
161	4682	3	socialclub
161	652	3	socialclub
161	723	3	socialclub
161	939	3	socialclub
161	972	3	socialclub
161	973	3	socialclub
1616	2303	3	socialclub
1616	502	3	socialclub
162	4190	0.022	residence
162	4191	0.022	residence
1635	1868	0.072	residence
1645	195	3	socialclub
1645	2254	3	socialclub
1645	2303	3	socialclub
1645	2659	3	socialclub
1645	3074	0.042	residence
1645	3469	3	socialclub
1645	4514	0.062	residence
1645	739	3	socialclub
1645	897	3	socialclub
168	169	0.000	residence
1688	274	0.078	residence
1688	4901	0.063	residence
1768	484	0.077	residence
1790	2817	0.041	residence
1790	2963	0.058	residence
1790	4777	0.065	residence
1790	611	0.014	residence
1790	648	0.017	residence
1813	2047	0.071	residence
1813	209	3	socialclub
1813	2159	3	socialclub
1813	2215	0.000	residence
1813	2254	3	socialclub
1813	2303	3	socialclub
1813	2377	3	socialclub
1813	2661	3	socialclub
1813	3246	0.000	residence
1813	3726	3	socialclub
1813	3829	0.000	residence
1813	4049	0.000	residence
1813	4055	0.000	residence
1813	4205	3	socialclub
1813	4262	3	socialclub
1813	4705	3	socialclub
1813	4719	3	socialclub
1813	4814	0.000	residence
1813	4878	3	socialclub
1813	4935	0.000	residence
1813	502	0.000	residence
1813	687	3	socialclub
1813	723	3	socialclub
1813	739	3	socialclub
1813	893	3	socialclub
1813	973	3	socialclub
1817	2303	3	socialclub
1817	2659	3	socialclub
1822	2159	3	socialclub
1822	3469	3	socialclub
1822	3963	0.083	residence
1822	4487	0.031	residence
1822	4534	0.085	residence
1822	949	0.083	residence
183	1905	0.020	residence
183	1942	0.094	residence
183	1959	0.030	residence
183	209	3	socialclub
183	2303	4	socialclub
183	2477	3	socialclub
183	2661	4	socialclub
183	2836	3	socialclub
183	3678	0.071	residence
183	3726	3	socialclub
183	3836	3	socialclub
183	4017	3	socialclub
183	4205	3	socialclub
183	4236	3	socialclub
183	4259	3	social_and_residence
183	4557	4	socialclub
183	4562	3	socialclub
183	4682	3	socialclub
183	4836	0.062	residence
183	4971	3	socialclub
183	603	0.066	residence
183	637	0.030	residence
183	723	4	socialclub
183	917	3	socialclub
183	939	3	socialclub
183	972	3	socialclub
183	973	3	socialclub
1857	3129	0.085	residence
1857	3136	0.085	residence
1857	3276	0.018	residence
1857	4095	0.069	residence
1857	4608	0.096	residence
1857	760	0.039	residence
1905	1942	0.079	residence
1905	1959	0.010	residence
1905	3678	0.062	residence
1905	4259	0.002	residence
1905	4836	0.063	residence
1905	603	0.060	residence
1905	637	0.010	residence
1937	2159	3	socialclub
1937	2254	3	socialclub
1937	2303	3	socialclub
1937	2658	0.009	residence
1937	2661	0.003	residence
1937	2794	0.078	residence
1937	2987	4	socialclub
1937	3469	3	socialclub
1937	3726	3	socialclub
1937	4705	0.003	residence
1937	4717	3	socialclub
1937	4719	3	socialclub
1937	4878	3	socialclub
1937	739	4	socialclub
1942	1959	0.073	residence
1942	3338	0.071	residence
1942	3678	0.035	residence
1942	4259	0.078	residence
1942	4836	0.070	residence
1942	603	0.050	residence
1942	637	0.072	residence
1942	967	0.095	residence
195	2005	3	socialclub
195	2254	3	socialclub
195	2303	3	socialclub
195	2659	3	socialclub
195	3469	4	socialclub
195	3518	3	socialclub
195	4205	3	socialclub
195	723	3	socialclub
